Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
91.20108393559096,-0.04450491947068674,-23.81274332752069,-158.0059148154962
96.97653591082496,-0.03894982882939446,-24.88490319593097,-158.5843627961995
103.1177274593056,-0.03247354784028599,-25.93910512666596,-159.2048482368298
109.6478196143185,-0.0269819643107794,-26.97684040343431,-159.4327745865984
116.5914401179831,-0.0228902473277327,-28.04962661235324,-159.8336584011322
123.9747763028944,-0.01984414804261348,-29.1402321346783,-159.758082816536
131.8256738556408,-0.01410732817027667,-30.11552269937143,-159.7743438561305
140.1737418346769,-0.01152381035679836,-31.25041197305244,-160.0446378997886
149.0504643386196,-0.007715053272824786,-32.31139970334412,-160.0051615307471
158.4893192461114,-0.009462040889918429,-33.38885759457465,-159.816938475276
168.5259044750751,-0.007474581577367643,-34.34609174999056,-159.5292425303766
179.1980722375334,-0.00442890554826611,-35.40284246882333,-159.2467936331845
190.5460717963248,-0.003877678343082629,-36.45677138659339,-159.5235458460499
202.6127012621143,-0.001939636809708952,-37.4100846858386,-159.0165962937535
215.4434690031882,-0.0002602641230447626,-38.57190762431205,-158.605760330205
229.0867652767774,0.001511423456587349,-39.58125880239677,-158.4887801473334
243.5940447292027,0.002936924531437729,-40.70365258128878,-156.5964969635216
259.0200204531322,0.003084379982573423,-41.764741802055,-156.6776483858449
275.4228703338166,0.00385591428270238,-43.00272776366626,-155.6512439990663
292.8644564625237,0.006036352864338123,-43.94521329024872,-153.8642770485247
311.4105584446758,0.006441712377689946,-44.68598638999843,-154.3570131320755
331.1311214825911,0.00374356665521396,-46.40645831003389,-152.1630511083352
352.1005201684521,0.007570948187291433,-47.04707625756563,-151.1270803478226
374.3978389823811,0.007756849319498032,-48.28420449976385,-146.4204108494813
398.1071705534973,0.006534619248499853,-48.9042927483351,-148.9759210835216
423.3179328088211,0.007534767709652217,-50.38176107271428,-146.3946170844658
450.1252062061337,0.01068231734024515,-50.91733812688943,-144.3323037059301
478.630092322638,0.007548612802528928,-52.66279305439194,-141.6559555264598
508.9400951518094,0.008505793566542344,-53.33666387162463,-141.5441911091353
541.1695265464638,0.006990712396749015,-55.0299323968668,-134.8966184998852
575.4399373371566,0.00718564444546028,-55.55958071511575,-137.4827098954757
611.8805757518219,0.01109266987684784,-57.59591465495635,-126.6372491933696
650.6288748655573,0.009312351049047016,-59.21266124291164,-123.8070288172976
691.8309709189363,0.01008518056209594,-58.31901471375048,-123.4101417280649
735.6422544596413,0.009660390958663648,-61.43570865954192,-121.3784858179823
782.2279563860029,0.01046204195414354,-60.23666059670829,-104.0530567250184
831.7637711026709,0.01144781163293327,-60.83583829354094,-109.4468606418183
884.4365191385999,0.01099503749106242,-62.9285963781392,-92.24917042871161
940.4448517263523,0.01168720412201103,-61.8171350740868,-112.6233585633165
1000,0.01063648513894244,-62.82440254050628,-89.40967544951314
1063.326571637162,0.01288509542408414,-68.6171006583769,-56.15952154240833
1130.663397949639,0.01408109424182463,-64.22311713825853,-59.1530853732734
1202.264434617413,0.01342677448001513,-64.91492399048323,-74.34409898585301
1278.399719463023,0.01271926896544376,-62.94001318625553,-79.29916617588439
1359.356390878525,0.01337318712914222,-63.37375749154199,-56.53221690314545
1445.439770745928,0.01280236429814298,-64.42476736544859,-61.5496130847858
1536.974515935271,0.01370594138470706,-63.29032196264079,-66.58343363911804
1634.305842723138,0.0127780340948397,-67.04519058741057,-41.37729207938317
1737.800828749376,0.01318474254698855,-64.89495651795858,-63.33143422712146
1847.849797422291,0.01093303081503457,-63.88949468345167,-73.47015204621152
1964.867789993468,0.0145827100911307,-67.1037259194168,-46.17923330447543
2089.296130854038,0.01233908837230804,-62.68482839967702,-37.48146955123701
2221.604091955812,0.01569658360982544,-66.49122539991585,-21.96959926830613
2362.290662634463,0.01819744179522829,-71.07088907963356,-61.58994580137255
2511.886431509579,0.01369878379399451,-63.42330822441751,-51.23743251940475
2670.955587558985,0.01944604981185232,-62.65022871001221,-34.89691263197676
2840.098047914214,0.01674759427176157,-68.10874283456234,-30.76465227909458
3019.951720402016,0.01639657219602994,-62.48394066367247,3.340660855871192
3211.194909364824,0.01977019211204461,-64.5557738315223,-31.84007436865873
3414.5488738336,0.02279610060848785,-63.51356533230125,3.101532265308265
3630.780547701014,0.02038199437096777,-62.53653021425471,-45.14535653647583
3860.705432153811,0.02128722967044767,-61.52706222174132,-30.43878077479579
4105.190671273078,0.02740335668549497,-64.84350032114,-56.51906523830984
4365.158322401661,0.02906182347627012,-69.30699209029021,-32.78057545873389
4641.588833612777,0.0254466722214463,-70.17900371913488,-56.98941735439374
4935.524741394806,0.03022599604946948,-70.02452916249601,-18.27774446646933
5248.074602497729,0.02858942862963969,-66.50848747476937,-26.35637364321882
5580.417174769964,0.03022161459971209,-64.91560357602637,-29.7553024312042
5933.805862753281,0.0363581281338957,-62.16294798765742,1.736974772789264
6309.57344480193,0.03426474230785646,-73.51706461570653,0.9255428886899466
6709.137099554112,0.0219974883094555,-62.78865924004713,2.320052278830786
7134.003750712564,0.03629877575002659,-63.15594720331251,-8.737988390227159
7585.775750291836,0.04320367300172132,-63.02034094850246,-61.00598662212792
8066.156921766135,0.02860463910510629,-60.36418367547554,-33.78248729842149
8576.958985908937,0.0478671536925861,-63.17937059533389,-37.75294013830123
9120.108393559096,0.04201519152161218,-66.46212585473528,-6.534918509785669
9697.653591082497,0.04873000700098108,-65.85687141849475,-51.12265830475847
10311.77274593055,0.04942876735591052,-69.79220514678529,7.460291558602961
10964.78196143185,0.05160755293819903,-62.35424898005343,-12.581157603724
11659.14401179832,0.05315035837175662,-66.93761849491362,-57.80512531207719
12397.47763028944,0.05458674163730434,-67.69564705583494,45.1947732972412
13182.56738556407,0.0625685038476284,-67.24895681661768,-48.17316657211964
14017.37418346769,0.06152688531546959,-67.12430492317617,-59.18873769930511
14905.04643386196,0.06436456490936446,-64.03668987433525,-55.70519733239553
15848.93192461114,0.05562366318558291,-83.63778161372694,-17.0088614180986
16852.59044750751,0.05056574727748155,-67.5913560816463,23.85045757173931
17919.80722375334,0.06369242191968227,-71.81960984118075,-102.3779392419609
19054.60717963246,0.06855442073437082,-69.83794854531281,14.26379791870119
20261.27012621144,0.05759604592431605,-64.59358600762413,14.75176565993646
21544.34690031884,0.06787560810942087,-70.70954896285626,-24.86475743250718
22908.67652767772,0.06718675725737168,-65.3547426799089,-67.78573764085289
24359.40447292027,0.06859993339010131,-62.00072011853803,-51.76719815926759
25902.00204531326,0.07380507234070229,-72.97108592112548,-45.75407390339269
27542.28703338166,0.07727569216230504,-64.36764595185073,-31.06848589199028
29286.44564625237,0.07168387325386327,-64.835789109324,-148.9197116436225
31141.05584446758,0.07683840381119861,-66.2265451875811,0.04687869761894348
33113.11214825911,0.07328740179303994,-60.59382673339547,-44.31937483521699
35210.05201684521,0.07443799842671013,-63.03127642886647,-22.31861553929656
37439.78389823811,0.08466158875453322,-73.66467010646679,-124.97645562269
39810.71705534973,0.08383079065033987,-62.80052333408355,12.27228401974993
42331.79328088207,0.08260879479774581,-63.75708379848921,28.66616454893085
45012.52062061337,0.07756076519485747,-65.72880319162964,16.44845061058826
47863.00923226385,0.07585555033699552,-64.76630490061075,-136.6631510927233
50894.00951518089,0.0959356026131522,-65.82346357229946,-127.8985980712519
54116.95265464637,0.08092861201504307,-65.83764180501929,131.2633889949551
57543.99373371566,0.09258322070480299,-59.1219668645757,99.02260716182637
61188.05757518219,0.09967242306094945,-65.99196481275946,26.98774293883659
65062.88748655573,0.107606834454087,-58.76508573154898,32.87963098618719
69183.09709189364,0.1279951002994449,-57.42821519456614,-62.73498535355537
73564.22544596414,0.1035718623764812,-54.66497360817984,90.31303559167898
78222.79563860029,0.0976068995162791,-64.77826748388387,-119.6486590804763
83176.37711026709,0.09120284644999081,-59.33102263446222,145.8696557505161
88443.65191385998,0.09524638163155122,-55.19433515776473,-1.053569408096216
94044.48517263513,0.1238590334269246,-57.76826036787489,165.5785792613123
100000,0.1210127709780804,-62.88567156047138,0.9236910755142773
